"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 09 14:34:44 IST 2021","Wed Jun 09 14:35:30 IST 2021","46207","","workpage_scenario","","workpage_scenario","navigating to workbtn in linkedin","navigating to workbtn in linkedin",""
"broken","Wed Jun 09 14:34:44 IST 2021","Wed Jun 09 14:35:44 IST 2021","60152","","jobspage_scenario","","jobspage_scenario","navigating to jobsbtn in linkedin","navigating to jobsbtn in linkedin",""
